Mouse Cage ,Mouse Number,Tag,Strain,Diet,Week,PercBWincrease,BW_Average,Food_Mass,Food_Avg,Ingest_bymouse,Glucose,Trig,NEFA,BCAA,Insulin
32,112,LE,DBA/2J,Vegan,0,32.6,30.6375,NA,NA,NA,117,634.9881,NA,0.974603175,5.23
32,113,RLE,DBA/2J,Vegan,0,32.5,30.6375,NA,NA,NA,126,365.5501,NA,1.424819625,4.3
33,114,NT,DBA/2J,Vegan,0,27.9,30.6375,NA,NA,NA,113,622.5525,NA,1.289177489,2.64
33,115,RE,DBA/2J,Vegan,0,31.3,30.6375,NA,NA,NA,107,532.3944,NA,0.991919192,3.17
33,116,LE,DBA/2J,Vegan,0,29.2,30.6375,NA,NA,NA,117,559.3382,NA,1.903896104,1.92
33,117,RLE,DBA/2J,Vegan,0,26.2,30.6375,NA,NA,NA,112,304.4084,NA,0.989033189,2.43
34,118,NT,S/J,American,0,26,26.7875,NA,NA,NA,200,230.8311,1.649362,,0.36
60,119,RE,S/J,American,0,25.5,26.7875,NA,NA,NA,139,91.9669,1.1987,,0.26
34,120,LE,S/J,American,0,24.8,26.7875,NA,NA,NA,118,249.4845,0.788463,,0.49
34,121,RLE,S/J,American,0,27.9,26.7875,NA,NA,NA,153,205.9599,0.870307,,0.51
35,122,NT,S/J,American,0,27.9,26.7875,NA,NA,NA,150,118.9107,0.586147,,0.48
57,123,RE,S/J,American,0,26,26.7875,NA,NA,NA,146,404.9295,1.035296,,1.19
36,124,NT,S/J,American,0,27.6,26.7875,NA,NA,NA,146,133.4189,1.016879,,0.98
37,125,NT,S/J,American,0,28.6,26.7875,NA,NA,NA,115,118.9107,1.55792,,0.71
42,126,NT,S/J,Mediterranean,0,26.4,26.98571429,NA,NA,NA,169,173.8346,1.452624,,0.39
44,127,RE,S/J,Mediterranean,0,27.7,26.98571429,NA,NA,NA,208,331.3522,0.540567,,0.27
38,128,LE,S/J,Mediterranean,0,25.5,26.98571429,NA,NA,NA,141,255.7023,1.098629,,0.32
43,129,RLE,S/J,Mediterranean,0,26.3,26.98571429,NA,NA,NA,153,163.4716,0.567352,,0.4
39,130,NT,S/J,Mediterranean,0,27,26.98571429,NA,NA,NA,138,130.31,1.154444,,0.51
40,131,NT,S/J,Mediterranean,0,26.6,26.98571429,NA,NA,NA,125,125.1285,1.114066,,0.48
41,132,NT,S/J,Mediterranean,0,29.4,26.98571429,NA,NA,NA,137,NA,1.0474,,0.62
45,133,NT,S/J,Vegetarian,0,24.6,26.6875,NA,NA,NA,181,203.8873,1.12721,,0.45
45,134,RE,S/J,Vegetarian,0,25.4,26.6875,NA,NA,NA,174,148.9634,0.77208,,0.36
45,135,LE,S/J,Vegetarian,0,26.8,26.6875,NA,NA,NA,186,392.4939,1.340189,,0.73
55,136,NT,S/J,Vegetarian,0,26.4,26.6875,NA,NA,NA,128,413.2199,1.499527,,0.21
56,137,RE,S/J,Vegetarian,0,30.3,26.6875,NA,NA,NA,105,441.2,0.890024,,1.09
59,138,LE,S/J,Vegetarian,0,27,26.6875,NA,NA,NA,152,206.9962,0.663617,,0.31
46,139,RLE,S/J,Vegetarian,0,29.4,26.6875,NA,NA,NA,131,258.8112,0.739054,,0.83
47,140,NT,S/J,Vegetarian,0,23.6,26.6875,NA,NA,NA,162,303.3721,1.21721,,0.5
48,141,NT,S/J,Vegan,0,26.5,27.0875,NA,NA,NA,199,302.3358,0.849385,,0.27
48,142,RE,S/J,Vegan,0,27.8,27.0875,NA,NA,NA,157,394.5665,1.094563,,0.68
48,143,LE,S/J,Vegan,0,25.8,27.0875,NA,NA,NA,142,223.577,0.531158,,0.48
49,144,NT,S/J,Vegan,0,27.6,27.0875,NA,NA,NA,156,216.3229,0.864775,,1.18
50,145,NT,S/J,Vegan,0,27.2,27.0875,NA,NA,NA,122,366.5864,1.646005,,0.56
51,146,NT,S/J,Vegan,0,27.4,27.0875,NA,NA,NA,157,202.851,1.052553,,0.76
52,147,NT,S/J,Vegan,0,27.2,27.0875,NA,NA,NA,126,497.1602,1.42435,,0.55
52,148,RE,S/J,Vegan,0,27.2,27.0875,NA,NA,NA,182,377.9857,0.873026,,0.65
53,149,NT,S/J,Chow,0,26.6,27.18333333,NA,NA,NA,147,218.3955,0.540331,,0.47
53,150,RE,S/J,Chow,0,26.4,27.18333333,NA,NA,NA,150,310.6262,1.026714,,0.59
53,151,LE,S/J,Chow,0,27.2,27.18333333,NA,NA,NA,194,323.0618,0.59182,,0.46
54,152,NT,S/J,Chow,0,28,27.18333333,NA,NA,NA,153,312.6988,0.531939,,0.7
54,153,RE,S/J,Chow,0,27.9,27.18333333,NA,NA,NA,143,382.1309,0.677707,,0.69
54,154,LE,S/J,Chow,0,27,27.18333333,NA,NA,NA,146,284.7187,0.818747,,0.51
1,1,RE,C57BL/6J,Chow,1,27.5,29.97142857,69.1,NA,NA,,,,,
1,2,NT,C57BL/6J,Chow,1,28.6,29.97142857,69.1,NA,NA,,,,,
2,3,NT,C57BL/6J,Chow,1,33.1,29.97142857,NA,NA,NA,,,,,
2,4,RE,C57BL/6J,Chow,1,30,29.97142857,NA,NA,NA,,,,,
2,5,LE,C57BL/6J,Chow,1,28.8,29.97142857,NA,NA,NA,,,,,
2,6,RLE,C57BL/6J,Chow,1,31.3,29.97142857,NA,NA,NA,,,,,
3,7,NT,C57BL/6J,Chow,1,30.5,29.97142857,36.7,NA,NA,,,,,
4,8,NT,C57BL/6J,American,1,31.1,30.9625,100,25.7625,0.118339458,,,,,
4,9,RE,C57BL/6J,American,1,28.7,30.9625,100,25.7625,0.128235441,,,,,
4,10,LE,C57BL/6J,American,1,31.7,30.9625,100,25.7625,0.116099594,,,,,
4,11,RLE,C57BL/6J,American,1,28.2,30.9625,100,25.7625,0.130509119,,,,,
5,12,NT,C57BL/6J,American,1,31.6,30.9625,106.1,25.7625,0.116466998,,,,,
5,13,RE,C57BL/6J,American,1,30.6,30.9625,106.1,25.7625,0.120273109,,,,,
5,14,LE,C57BL/6J,American,1,33.5,30.9625,106.1,25.7625,0.109861407,,,,,
5,15,RLE,C57BL/6J,American,1,32.3,30.9625,106.1,25.7625,0.113942946,,,,,
6,16,NT,C57BL/6J,Mediterranean,1,30.2,30.8875,106.1,26.6875,0.126241722,,,,,
6,17,RE,C57BL/6J,Mediterranean,1,30,30.8875,106.1,26.6875,0.127083333,,,,,
